provider_id,npi,first_name,last_name,full_name,specialty,phone,email,address,city,state,zip_code,license_number,license_state,license_expiry,board_certified,accepting_new_patients,years_in_practice,medical_school,graduation_year,hospital_affiliations,languages,data_quality_issue,last_updated,record_status,has_pdf_documents
21,6886634073,Tina,Allen,Dr. Tina Allen,Pediatrics,(736)305-7662x7028,tina.allen@garcia-lozano.com,2174 Hanson Locks,Port Markside,PA,50309,CA302784,NC,2026-09-24,True,True,23,Sims-Clay Medical School,2003,"Brennan-Johnson Hospital, Young Ltd Hospital",Spanish,,2024-10-29,active,True
22,4698610380,Samantha,Bright,Dr. Samantha Bright,Neurology,001-716-711-7240x0504,old_charleslandry@example.net,21969 Tyler Prairie,East Steven,IL,33790,TX909508,TX,2027-02-24,False,True,23,Scott-Smith Medical School,2019,Santana-Byrd Hospital,"Hindi, English",Email may be inactive,2025-03-05,active,True
23,2547542884,Kevin,Hayden,Dr. Kevin Hayden,Dermatology,001-647-643-6713x695,kevin.hayden@spence.biz,90974 Catherine Knoll Apt. 394,Lake Colton,IL,82743,FL416138,NY,2028-01-09,True,True,31,"Williams, Kramer and Johnson Medical School",1983,Oconnor-Davis Hospital,Hindi,,2024-05-08,active,True
24,4565441268,Kenneth,Burgess,Dr. Kenneth Burgess,Pathology,(632)985-8842,kenneth.burgess@francis-morgan.com,23685 Krystal Bridge Suite 817,Emilyview,MI,77120,MI194748,CA,2028-01-25,False,False,6,Carson-Bentley Medical School,2007,"Leonard Group Hospital, Harvey PLC Hospital, Herman-Walker Hospital","Spanish, Hindi, English",,2025-04-18,active,True
25,6310633923,Bryan,Colon,Dr. Bryan Colon,Pulmonology,001-446-812-0047x113,old_rushmadison@example.org,261 Gilbert Harbors Apt. 537,Sampsonstad,NY,13523,PA661426,GA,2026-02-08,True,False,38,"Richardson, Winters and Newman Medical School",1991,Sanders and Sons Hospital,Arabic,Email may be inactive,2025-07-29,active,False
26,4108721675,Elizabeth,May,Dr. Elizabeth May,Rheumatology,+1-500-553-2931x839,elizabeth.may@schroeder-kramer.org,2284 Daniel Way,East Alexisbury,TX,77683,OH295501,IL,2026-03-25,False,True,25,Smith-Baker Medical School,1996,Harmon PLC Hospital,English,Specialty verification needed,2023-11-28,active,True
27,3000446618,Daniel,Brown,Dr. Daniel Brown,Psychiatry,958.291.7839x084,daniel.brown@lutz.biz,7115 Cameron Harbor,Oscarhaven,NC,39153,NC367314,OH,2027-08-13,True,False,5,Wagner-Jordan Medical School,1981,"Wilson, Pena and Rich Hospital, Le, Lewis and Hayes Hospital","Spanish, Arabic",,2024-10-20,active,False
28,9468083174,Jeremy,Morgan,Dr. Jeremy Morgan,Neurology,366.315.6545x271,jeremy.morgan@reynolds.com,098 Santiago Loop,Morganchester,IL,95011,NC110013,MI,2026-12-05,True,False,35,Schmitt PLC Medical School,1999,"Bell-Lane Hospital, Moore Group Hospital",Spanish,Specialty verification needed,2025-01-08,active,True
29,8110565809,Jeffrey,Rodriguez,Dr. Jeffrey Rodriguez,Endocrinology,+1-251-649-3689,jeffrey.rodriguez@white.com,0229 Jones Streets Apt. 183,Barnesmouth,OH,21132,FL167989,MI,2026-03-25,True,False,31,Collins-Nguyen Medical School,2009,"Carlson, Ware and Moore Hospital, Williams, Miller and Ramos Hospital","French, Chinese",,2025-03-28,active,True
30,9666061749,Roger,Lawson,Dr. Roger Lawson,Pathology,(543)881-5614x97840,roger.lawson@brown.com,5107 Thompson Light Apt. 885,South Michelleton,FL,57677,OH423590,OH,2027-04-27,False,True,2,Stevens Inc Medical School,2001,"Johnston-Berry Hospital, Bowman, Roberts and Sullivan Hospital, Jackson-Meza Hospital","French, Spanish",,2024-01-08,active,True
31,4634484659,Steve,Norris,Dr. Steve Norris,Family Medicine,(716)513-6968x164,steve.norris@maxwell-jones.com,5231 Jonathan Extensions,Port Katherine,NY,10377,CA203490,OH,2027-07-19,True,True,33,Bean Ltd Medical School,2000,Marshall-Elliott Hospital,Spanish,Specialty verification needed,2025-05-10,active,True
32,7819810361,Bethany,Maldonado,Dr. Bethany Maldonado,Gastroenterology,001-695-652-7177,bethany.maldonado@brown.info,54119 Ford Plaza,South Reginashire,IL,85938,PA846508,FL,2028-03-29,False,False,32,Morris Group Medical School,1996,"Hernandez, Brown and Garcia Hospital",Spanish,,2024-04-26,active,False
33,9468211460,Rachel,Cooper,Dr. Rachel Cooper,Anesthesiology,001-718-720-3778x892,rachel.cooper@hughes-schroeder.org,515 Angela Lights,Johnathanberg,NY,44195,IL727270,TX,2026-05-13,False,False,29,Aguilar and Sons Medical School,1984,"Collins-Douglas Hospital, Myers, Larson and Hurley Hospital","English, Chinese",,2025-04-26,active,False
34,5599509375,Kyle,Bennett,Dr. Kyle Bennett,Cardiology,528-516-8505x42357,kyle.bennett@moore.com,592 Moore Falls,Lake Samuel,TX,54353,CA974238,TX,2028-03-05,False,True,7,Rhodes-Young Medical School,1980,"Bishop-Goodwin Hospital, Young-Allen Hospital","French, English",Provider may have relocated,2024-09-15,active,False
35,2491233989,Tammy,Mueller,Dr. Tammy Mueller,Emergency Medicine,461.453.0515,tammy.mueller@solis.com,758 Jennifer Path,West Christopherburgh,NC,36256,NC214955,IL,2026-04-08,False,False,16,Whitehead-Hernandez Medical School,2016,"Davis-Lozano Hospital, Wilkerson-Arias Hospital, Brown-Shaw Hospital","French, Arabic, Hindi",Phone may be outdated,2025-04-16,active,False
36,7910931405,Benjamin,Lowery,Dr. Benjamin Lowery,Rheumatology,827.379.0104x3289,benjamin.lowery@young-martinez.com,971 Mary Parks Apt. 893,West Ruben,IL,81085,NY894323,NY,2027-04-22,False,False,15,Allen-Butler Medical School,1992,"Barnett, Mills and Ward Hospital, Stephens, Hartman and Romero Hospital","Arabic, Hindi",,2024-05-12,active,True
37,9996962280,Andrew,Marks,Dr. Andrew Marks,Orthopedic Surgery,3657405153,andrew.marks@williams.com,1566 Kline Lights Suite 277,Sandrahaven,PA,06242,NY434685,TX,2027-10-27,True,True,18,Blackwell LLC Medical School,1992,"Robertson-Hays Hospital, Kennedy, Johnson and Lucas Hospital, Kelly-Norman Hospital",Spanish,Address verification needed,2024-01-17,active,True
38,1567519787,Joseph,Miller,Dr. Joseph Miller,Pediatrics,(816)492-8451x15447,joseph.miller@wallace.com,0165 Stephanie Divide Suite 021,Port Deanna,GA,47968,OH401173,PA,2027-01-01,False,True,29,Herring-Johnson Medical School,1989,"Shelton LLC Hospital, Wallace-Jones Hospital, Moreno Group Hospital","Chinese, Spanish, Arabic",,2023-11-18,active,False
39,5304783721,Leonard,Ramirez,Dr. Leonard Ramirez,Oncology,602-978-6814,leonard.ramirez@davies.info,21727 Lisa Vista,Elizabethland,FL,72590,NC494780,CA,2027-12-01,False,False,8,"Roberts, Evans and Moore Medical School",1991,"Ho, Little and Leon Hospital, Walker, Galloway and Conner Hospital, Tyler Inc Hospital","Hindi, Arabic",Provider may have relocated,2025-10-17,active,False
40,6262905127,Michael,Armstrong,Dr. Michael Armstrong,Dermatology,382.491.1467x866,michael.armstrong@day-cole.net,89226 Marie Path Apt. 422,Sarahbury,CA,45854,IL475363,PA,2026-05-21,False,True,16,"Jacobson, Singleton and King Medical School",2013,"Huber, Hill and Weber Hospital, Ferguson, Shaw and Jackson Hospital, Moore, Hopkins and Le Hospital",French,,2024-11-26,active,True
41,6155238218,Cassie,Kirby,Dr. Cassie Kirby,Psychiatry,001-800-210-9439,cassie.kirby@small-gardner.com,64710 Scott Orchard Suite 359,West Michelle,NC,42354,TX110700,OH,2027-07-09,True,False,32,"Travis, Reed and Ross Medical School",1993,Robertson-Rodriguez Hospital,"English, Hindi, Chinese",Specialty verification needed,2024-07-28,active,False
42,8568894798,John,Martinez,Dr. John Martinez,Pulmonology,732.510.4696x325,john.martinez@jimenez.info,7016 Levy Forge Suite 004,Harperfort,NY,37954,OH765506,GA,2028-03-16,False,False,27,"Smith, Rodriguez and Anderson Medical School",1982,"Luna-Gallagher Hospital, Williams-Williams Hospital","Chinese, French, Spanish",,2025-08-23,active,True
43,6231619978,Anna,Cox,Dr. Anna Cox,Pulmonology,987.694.7055x16940,anna.cox@mcmillan.net,000 Jennifer Unions Suite 872,West Sarah,CA,42251,OH939547,PA,2026-05-04,False,False,9,Long PLC Medical School,1997,"Kirby, Wheeler and Romero Hospital","Chinese, French",Phone may be outdated,2024-10-05,active,True
44,7900321923,Tammy,Patton,Dr. Tammy Patton,Pediatrics,001-399-530-9728x96230,tammy.patton@alexander.com,368 Salas Street Apt. 283,Whitneyfort,TX,69376,NY571789,NC,2026-01-23,True,False,5,Edwards-Thompson Medical School,2003,"Peterson, Gomez and Ingram Hospital","Spanish, Hindi",,2025-02-27,active,False
45,5139470121,Jennifer,Schneider,Dr. Jennifer Schneider,Oncology,865-971-2082,jennifer.schneider@castillo-castro.com,98665 Kelly Heights Apt. 574,Lewisside,CA,36038,NC485231,TX,2026-06-25,False,False,25,"Horton, Taylor and Gilbert Medical School",1991,"Allen, Williams and Stein Hospital, Little Inc Hospital","Chinese, Arabic, Spanish",Phone may be outdated,2024-12-22,active,False
46,2481898946,Thomas,Gonzalez,Dr. Thomas Gonzalez,Gastroenterology,854-901-9380x2620,thomas.gonzalez@zuniga.com,9915 Gibson Row,Smallberg,CA,66589,GA321323,TX,2026-05-29,False,True,39,Nelson-Lamb Medical School,1998,Martin-Stevens Hospital,"Arabic, French",,2025-08-02,active,False
47,8072950200,Jonathan,Lopez,Dr. Jonathan Lopez,Obstetrics & Gynecology,001-354-493-2966x8516,jonathan.lopez@woods.com,3745 Aguilar Ports Apt. 453,Lake Davidport,TX,21435,MI170581,NC,2027-08-23,True,False,39,Parks-Leblanc Medical School,1994,"Carrillo, Vaughn and Fowler Hospital, Richardson-Walker Hospital, Mendoza Group Hospital","Spanish, French",,2023-11-04,active,False
48,3119837974,Julie,Obrien,Dr. Julie Obrien,Dermatology,(387)283-3918x78519,julie.obrien@leach.com,713 Davis Pass Suite 072,Bryantton,PA,73743,CA342127,MI,2025-12-14,True,False,27,Chambers-Parker Medical School,1992,"Foster Inc Hospital, Robinson, Jones and Henderson Hospital, Brown, Mcknight and Michael Hospital",French,Specialty verification needed,2024-07-14,active,False
49,9998961618,Cesar,Peck,Dr. Cesar Peck,Anesthesiology,8468226567,cesar.peck@vega.net,512 Rice Stream,Port Adam,NC,03480,TX664986,GA,2027-02-02,True,True,23,Ford-Ball Medical School,1998,"Patel-Morrow Hospital, Murray and Sons Hospital",Arabic,,2024-05-06,active,True
50,2496110518,Joshua,Pineda,Dr. Joshua Pineda,Gastroenterology,001-210-569-0331x1907,joshua.pineda@williams.com,439 Ray Trail,Joelberg,NY,87036,TX305543,NC,2027-08-01,False,False,9,"Walker, Turner and Brown Medical School",2006,"Hobbs, Buck and Garrett Hospital",Chinese,,2024-06-28,active,False
51,8337463537,Ronald,Simpson,Dr. Ronald Simpson,Dermatology,(568)556-6246x287,ronald.simpson@mathews-thomas.info,668 Paul Glens,West Deborah,GA,59455,MI344899,GA,2026-06-10,False,False,40,Davis-Hardy Medical School,2012,"Williams Group Hospital, Jacobs, Williams and Jones Hospital, Ramsey, Hansen and Mendoza Hospital","Hindi, Chinese",,2024-06-29,active,False
52,3960983404,Molly,Cook,Dr. Molly Cook,Family Medicine,5337173936,molly.cook@james-ferguson.com,5877 Leah Stravenue Suite 535,Robertshire,TX,29503,TX918647,IL,2025-12-24,False,False,1,"Thomas, Green and Donovan Medical School",2018,"Cortez, Phillips and Gonzalez Hospital","Arabic, Chinese",,2024-03-18,active,False
53,4014869071,Jerry,Hudson,Dr. Jerry Hudson,Psychiatry,778.454.7772,old_hsmith@example.net,010 Robert Ville,North Jasmine,PA,01699,NY156886,CA,2028-10-01,True,True,38,Wagner LLC Medical School,1990,"Williamson Ltd Hospital, Durham, Hopkins and Smith Hospital","English, Chinese",Email may be inactive,2023-11-08,active,True
54,8088019430,Joshua,Madden,Dr. Joshua Madden,Pulmonology,5866211823,joshua.madden@adams-sanders.com,9334 Desiree Walks Apt. 166,Tranton,IL,83960,OH782924,GA,2025-11-29,False,True,10,Warner Inc Medical School,2014,"Bruce-Newman Hospital, Knight-Hodge Hospital","English, Hindi, Chinese",,2024-10-11,active,False
55,2061726154,Cody,Rice,Dr. Cody Rice,Pediatrics,2334974014,cody.rice@smith-clark.com,42939 Rhodes Plains Suite 621,Brianchester,CA,30928,MI618581,IL,2028-10-06,False,True,3,Peterson PLC Medical School,1989,"Sanders, Ayala and Johnson Hospital, Bowers-Hayes Hospital, Kelly Group Hospital","Spanish, Hindi",,2024-03-16,active,True
56,1062347058,Ryan,Frazier,Dr. Ryan Frazier,Dermatology,+1-761-394-3114x26265,ryan.frazier@smith.info,1212 Cole Point Suite 101,Angelamouth,FL,50994,IL174511,CA,2028-03-07,True,True,13,Carter Group Medical School,1998,"Hardy PLC Hospital, Armstrong and Sons Hospital, James, Taylor and Turner Hospital","English, Arabic",,2025-08-29,active,True
57,1705988590,Trevor,Brown,Dr. Trevor Brown,Anesthesiology,(346)447-1543x79937,trevor.brown@smith-foster.org,7569 Kevin Rapids Apt. 752,Novakport,FL,96822,NC110269,NY,2025-09-03,True,True,5,"Chen, Faulkner and Casey Medical School",2014,"Bennett-Velasquez Hospital, Diaz-Frederick Hospital, Vargas PLC Hospital",French,License may be expired,2025-09-05,active,False
58,7776828878,Hector,Saunders,Dr. Hector Saunders,Cardiology,6735741672,hector.saunders@hopkins-espinoza.biz,9796 Stephens Turnpike,Jacquelineside,IL,78334,FL726200,IL,2028-09-13,True,True,28,"Rocha, Rodriguez and Wright Medical School",1987,"Kelly, Holland and Williams Hospital",Chinese,,2024-09-17,active,True
59,7723149691,Tonya,Byrd,Dr. Tonya Byrd,Anesthesiology,(556)910-1438x8899,tonya.byrd@myers-barton.org,0714 Knapp Corner,Port Sheliaberg,PA,46157,FL371104,FL,2027-03-10,False,True,7,Cooper-Mueller Medical School,2018,"Webb, Alvarez and Kim Hospital, Chavez, Jones and Williams Hospital, Wilson, Sweeney and Wong Hospital",French,,2024-04-04,active,False
60,1059619176,Erica,Martin,Dr. Erica Martin,Pulmonology,001-438-828-2586x7362,erica.martin@johnson-mendez.com,660 Jamie Terrace Apt. 918,West Mark,PA,60473,MI653171,FL,2024-11-19,True,True,40,Baker Group Medical School,1998,"Church, Edwards and Price Hospital, Matthews-Bailey Hospital","Hindi, Chinese",License may be expired,2024-01-22,active,True
61,2978610594,Megan,Williamson,Dr. Megan Williamson,Orthopedic Surgery,+1-849-891-2513x41252,megan.williamson@taylor.net,274 Jacob Ville,Harveystad,PA,01757,TX470045,IL,2027-07-01,False,True,17,Taylor-Ochoa Medical School,1983,"Wagner, Simpson and Cohen Hospital, Mckinney-Wallace Hospital","Arabic, French, Spanish",,2024-08-27,active,True
62,9332122152,Gary,Cunningham,Dr. Gary Cunningham,Family Medicine,001-334-304-3842x79788,gary.cunningham@hampton-morrow.com,783 Garcia Village,West Nancy,OH,04725,NC243502,PA,2027-01-18,False,True,1,Baker-Atkins Medical School,1996,Gonzales Inc Hospital,"English, Arabic, French",,2024-02-04,active,True
63,6380525740,Kimberly,Young,Dr. Kimberly Young,Obstetrics & Gynecology,001-695-496-2923x3095,kimberly.young@werner-carter.org,126 Victoria Way Apt. 232,Mariafurt,PA,64655,TX715298,PA,2027-12-27,False,False,8,Ray LLC Medical School,2006,"Perry, Hayes and Schultz Hospital, Powell Ltd Hospital, Neal-Wiley Hospital","Arabic, Chinese",,2024-07-18,active,True
64,1989304941,Shawn,Freeman,Dr. Shawn Freeman,Cardiology,001-801-575-1863,shawn.freeman@adams-clayton.com,750 Cory Tunnel,Smithburgh,OH,58341,TX359519,NC,2027-12-29,False,False,13,Smith-Rubio Medical School,2012,Forbes and Sons Hospital,Chinese,,2024-10-25,active,True
65,5115092313,Nicole,Turner,Dr. Nicole Turner,Dermatology,315-341-5206x436,nicole.turner@lewis.com,700 Montoya Wall,Bensonfort,MI,09784,NC643756,CA,2026-04-30,False,False,29,Reyes Ltd Medical School,2016,"Garcia LLC Hospital, Taylor-Ayala Hospital",Hindi,,2024-09-08,active,True
66,1495927859,Karen,Anderson,Dr. Karen Anderson,Rheumatology,+1-921-589-0927x53269,karen.anderson@mosley.com,6523 Newman Gateway Suite 043,Lake Peter,FL,85195,PA728364,CA,2027-07-26,False,True,25,Bowers and Sons Medical School,1993,"Cruz-Allen Hospital, Wheeler, Rice and Levine Hospital, Peck-Anderson Hospital","Arabic, Chinese, English",,2024-02-22,active,False
67,7847084114,Michelle,Carroll,Dr. Michelle Carroll,Pathology,(282)871-0910x430,michelle.carroll@mitchell.biz,88924 Kyle Pass Apt. 285,Willisland,MI,41155,OH361102,PA,2027-07-24,True,True,1,"Kim, Ashley and Allen Medical School",1982,"Miller Group Hospital, Chavez PLC Hospital","Chinese, English, Hindi",,2024-10-20,active,False
68,4046216415,Brian,Wade,Dr. Brian Wade,Rheumatology,+1-421-602-0275x88425,brian.wade@tanner.biz,149 Tyler Pass Suite 079,West Eric,CA,13988,OH247511,MI,2028-03-05,False,True,24,"Craig, Wilson and Yang Medical School",1998,"Williams Inc Hospital, Williams LLC Hospital, Mora-White Hospital","Hindi, Chinese",,2025-09-18,active,True
69,7183971131,Susan,Johnson,Dr. Susan Johnson,Gastroenterology,001-263-453-6541x951,susan.johnson@brock.biz,4451 Smith Flats,Anneport,FL,97438,CA864149,IL,2027-10-06,False,False,28,"Sanchez, Richardson and Bonilla Medical School",2020,Oconnor PLC Hospital,Spanish,Specialty verification needed,2024-11-24,active,True
70,6723491012,Kathleen,Sanchez,Dr. Kathleen Sanchez,Rheumatology,8606385050,kathleen.sanchez@harris.biz,91212 Owens Lodge,New Michaelborough,NC,10309,FL106413,PA,2028-06-10,False,True,6,"Bradley, Graham and Brandt Medical School",2008,"Carter LLC Hospital, Haynes-Moss Hospital, Chavez-Hall Hospital","Arabic, French, Chinese",Address verification needed,2024-10-05,active,False
71,7654986544,Shannon,Ford,Dr. Shannon Ford,Internal Medicine,312-549-0352,shannon.ford@foster-williams.com,06788 Cody Cove Apt. 100,East James,MI,53006,FL972781,IL,2025-06-30,True,True,37,Parks-Pace Medical School,2016,Aguilar LLC Hospital,"English, Spanish, French",License may be expired,2024-10-18,active,True
72,3884641087,Samantha,Jones,Dr. Samantha Jones,Pediatrics,237-421-5107,old_roberta85@example.com,53244 Stephenson Bypass Apt. 476,Brownview,GA,50703,FL661659,MI,2027-12-05,True,False,20,Barnes Ltd Medical School,1990,"Wright, Mcknight and Stephens Hospital, Mayo Ltd Hospital, Castillo-Harrington Hospital","Chinese, English, French",Email may be inactive,2023-10-25,active,False
73,7382717689,Joseph,Johnson,Dr. Joseph Johnson,Anesthesiology,+1-530-540-7859x321,joseph.johnson@ferguson-moody.com,652 Joel Island,Robintown,CA,92703,MI594338,TX,2026-01-25,True,False,24,"Bell, Bradley and Thomas Medical School",1999,"Copeland Group Hospital, Parker, Henry and Davis Hospital","English, Chinese",,2024-04-12,active,False
74,2803894352,Jesse,Robinson,Dr. Jesse Robinson,Internal Medicine,001-542-320-9690x295,jesse.robinson@valencia.biz,4522 Conner Oval,Grantside,NY,91407,IL402047,CA,2027-12-10,False,True,30,"Buchanan, Walker and Chapman Medical School",2015,Gray Ltd Hospital,French,Phone may be outdated,2025-04-11,active,False
75,6776060527,Sharon,Taylor,Dr. Sharon Taylor,Ophthalmology,859-497-0629,sharon.taylor@buchanan-le.com,6267 Bell Lane Apt. 793,South Charles,IL,04880,PA149262,NC,2027-04-19,False,True,9,Smith-Green Medical School,2018,"Jones and Sons Hospital, Martin-Jones Hospital","Chinese, English",Phone may be outdated,2025-01-05,active,False
76,8133592189,Brian,Rivera,Dr. Brian Rivera,Pathology,268.884.4431,brian.rivera@dunn.com,49731 Jamie Route Suite 171,Kristenfort,FL,64607,TX422539,CA,2026-10-28,True,False,31,"Baker, May and Hughes Medical School",2018,Mcclure-Wood Hospital,"Hindi, Spanish, Chinese",,2025-08-05,active,False
