provider_id,npi,first_name,last_name,full_name,specialty,phone,email,address,city,state,zip_code,license_number,license_state,license_expiry,board_certified,accepting_new_patients,years_in_practice,medical_school,graduation_year,hospital_affiliations,languages,data_quality_issue,last_updated,record_status,has_pdf_documents
18,5503118524,Laura,Larson,Dr. Laura Larson,Radiology,001-947-917-4648,laura.larson@george.com,13990 Johnston Track Apt. 787,Howardshire,FL,57633,TX789715,MI,2026-10-24,True,False,25,"Olsen, Costa and Harrison Medical School",1980,"Cook-Santiago Hospital, Rivera Ltd Hospital, Roberts-Landry Hospital","Hindi, Chinese, French",,2024-03-08,active,False
19,5072703528,Lisa,Pierce,Dr. Lisa Pierce,Endocrinology,215.545.1680x876,lisa.pierce@cox.com,8247 Martinez Roads,Lake Eric,FL,72700,CA190657,IL,2027-07-09,True,True,39,Tran Inc Medical School,2004,Gay Inc Hospital,"Chinese, Arabic, Hindi",,2025-08-09,active,False
20,3731915247,Steven,Wilson,Dr. Steven Wilson,Dermatology,001-366-927-0289x517,steven.wilson@lee-greene.com,6584 Justin Hills,Grimesmouth,GA,71093,IL218292,PA,2026-12-20,False,True,20,Reed-Arnold Medical School,2012,"Bennett, Cantu and Kane Hospital, Allen, Reyes and Chase Hospital, Williams-Garner Hospital",French,Phone may be outdated,2025-07-15,active,False
21,4223025920,Alexis,Thomas,Dr. Alexis Thomas,Family Medicine,+1-921-274-5961x5865,alexis.thomas@jones.com,1172 Berger Cape,Lauraport,TX,47485,NY326371,PA,2028-06-12,True,False,9,Jordan-Sanchez Medical School,1987,"Knight-Sparks Hospital, Thompson PLC Hospital, Harvey-Allen Hospital",Hindi,,2025-07-26,active,True
22,6885318682,Roberta,Thomas,Dr. Roberta Thomas,Ophthalmology,647.840.7482x175,roberta.thomas@wright.biz,36959 Haney Hill Apt. 640,New Julieport,TX,30663,CA540237,GA,2027-03-26,False,True,28,"Pham, Robinson and Lee Medical School",2007,"Byrd-Le Hospital, Becker, Taylor and Davis Hospital",Chinese,,2025-08-29,active,True
23,8416105806,Courtney,Williams,Dr. Courtney Williams,Dermatology,709.652.1456x232,courtney.williams@scott.com,71236 Davis Locks Apt. 481,Richardsonview,CA,77120,GA389037,FL,2026-12-24,False,False,21,Carson-Bentley Medical School,2011,Leonard Group Hospital,"Arabic, English",,2025-10-14,active,True
24,7086681234,Angel,Henson,Dr. Angel Henson,Rheumatology,+1-459-231-7461,angel.henson@torres.com,82675 Matthews Stream,South Diana,PA,64640,GA356568,IL,2028-10-05,False,True,9,"Russell, Lynn and Johnson Medical School",1984,Robinson-Wallace Hospital,"Spanish, Hindi, Chinese",Provider may have relocated,2024-03-14,active,True
25,1788403043,Joel,Cox,Dr. Joel Cox,Rheumatology,+1-258-750-6431x71390,joel.cox@zhang.com,393 Mark Drive,West Micheleberg,OH,17539,PA748589,GA,2027-12-31,False,False,18,"King, Thompson and Guerrero Medical School",2020,Anderson LLC Hospital,"English, French, Hindi",,2023-12-30,active,True
26,4858608134,Kristy,Young,Dr. Kristy Young,Ophthalmology,302-940-2681x17758,kristy.young@walker.net,0076 Parks Overpass Suite 115,North David,NY,82331,OH504440,CA,2026-06-23,False,False,10,"Richards, Joseph and James Medical School",2009,"Schmidt, Chavez and Jacobs Hospital","Spanish, French, Arabic",,2024-01-08,active,False
27,6009327089,Cory,Miles,Dr. Cory Miles,Psychiatry,+1-883-767-3657x6615,cory.miles@scott.info,11615 Angela Radial,Elizabethchester,NC,46847,CA347480,OH,2028-09-18,True,False,25,"Pugh, Henderson and Moon Medical School",1989,Schmitt PLC Hospital,Arabic,Specialty verification needed,2025-09-01,active,True
28,8703102411,Larry,Garcia,Dr. Larry Garcia,Pulmonology,232.673.1585x14936,larry.garcia@white.com,0229 Jones Streets Apt. 183,Barnesmouth,PA,21132,NC902731,OH,2026-12-23,True,True,35,Collins-Nguyen Medical School,2006,"Carlson, Ware and Moore Hospital, Williams, Miller and Ramos Hospital","Hindi, English, French",,2024-11-26,active,True
29,7873496797,Roger,Lawson,Dr. Roger Lawson,Neurology,(543)881-5614x97840,roger.lawson@brown.com,5107 Thompson Light Apt. 885,South Michelleton,IL,57677,CA235132,FL,2027-07-18,True,False,18,Stevens Inc Medical School,2020,Johnston-Berry Hospital,"Arabic, Hindi",,2025-07-06,active,False
30,9285028332,Jenna,Butler,Dr. Jenna Butler,Orthopedic Surgery,860-352-9751,jenna.butler@graham.net,9979 Lin Road Suite 271,Ramosport,NY,46520,NY416038,TX,2027-03-14,False,True,17,"Mullen, Brewer and Hernandez Medical School",2017,"Thomas and Sons Hospital, Morrison Ltd Hospital, Thompson Ltd Hospital",Hindi,Address verification needed,2024-11-14,active,True
31,1326416102,Laura,Vargas,Dr. Laura Vargas,Radiology,(881)947-7005x411,old_nathan46@example.com,9782 Shannon Valleys,Toniland,FL,66633,GA777072,FL,2027-07-19,True,False,19,"Thompson, Wright and Kim Medical School",2006,Warren-Bishop Hospital,"English, Hindi",Email may be inactive,2025-01-08,active,True
32,7153329246,Kim,Shelton,Dr. Kim Shelton,Dermatology,4517518644,kim.shelton@aguilar.com,629 Kyle Lane Suite 281,Romerotown,OH,48027,TX405676,PA,2028-01-29,False,False,20,White-Lewis Medical School,2012,"Lee-Cooke Hospital, Jones Inc Hospital",Arabic,,2024-04-03,active,False
33,3446062236,William,Fernandez,Dr. William Fernandez,Oncology,001-980-259-2962x2292,william.fernandez@diaz-ball.info,738 Kyle Valleys Suite 359,Murrayport,TX,50553,MI917809,PA,2028-07-05,False,False,18,"Rose, Burch and Montoya Medical School",1997,"Taylor, Wright and Davidson Hospital, Spencer-Garcia Hospital, Rosales, Mitchell and Hines Hospital","Chinese, English",,2024-11-18,active,False
34,2005690239,Joshua,Whitehead,Dr. Joshua Whitehead,Orthopedic Surgery,(861)737-5060,joshua.whitehead@hughes.com,51522 Justin Village,Hortonberg,NY,92977,CA209082,PA,2028-08-17,True,False,34,West-Smith Medical School,1980,"Smith and Sons Hospital, Dunn Ltd Hospital, Rose, Rodriguez and Roberts Hospital","Spanish, Arabic",,2025-07-18,active,False
35,9422764068,Kevin,Williams,Dr. Kevin Williams,Pediatrics,(897)211-7980x89324,kevin.williams@gomez.com,277 Lisa Circles Suite 043,Port Jameston,PA,32105,NC865224,TX,2027-06-30,False,True,21,"Sandoval, Garcia and Perkins Medical School",1982,Anderson-Bell Hospital,Chinese,Address verification needed,2023-11-10,active,True
36,4376779258,Leslie,Collins,Dr. Leslie Collins,Ophthalmology,(887)840-3450x5415,leslie.collins@gonzales.com,758 Owen Stream Suite 169,New Kelly,NY,13948,OH180528,NC,2026-10-05,True,False,17,Murphy LLC Medical School,2007,Griffin-Robbins Hospital,"Hindi, French, English",,2024-12-15,active,True
37,8147376500,Garrett,Wallace,Dr. Garrett Wallace,Orthopedic Surgery,494.973.1217,garrett.wallace@gregory.com,6909 Erika Land Suite 719,New Michael,NC,41708,GA965976,IL,2028-02-11,False,False,10,"Ramirez, Horne and Johnson Medical School",2017,"Porter Group Hospital, Wilson, Hampton and Padilla Hospital",Spanish,Phone may be outdated,2024-05-19,active,False
38,7910021217,Wendy,Cochran,Dr. Wendy Cochran,Neurology,451-588-4422x58313,old_fernandodonovan@example.org,291 Kyle Stravenue Suite 866,East Teresaland,OH,59480,PA119880,OH,2027-03-13,False,False,21,Frazier-Cooper Medical School,1984,"Bowman, White and Burch Hospital, Shaw-Oneill Hospital, Holmes LLC Hospital","Chinese, French",Email may be inactive,2023-11-13,active,False
39,2067669038,Michael,Everett,Dr. Michael Everett,Gastroenterology,414-438-4249x8182,old_mharris@example.org,10943 Montgomery Burgs,Smallside,PA,38468,GA542711,MI,2028-01-10,False,True,20,"Frye, Webb and Ballard Medical School",2010,"Sullivan, Chavez and Barker Hospital, Gonzales Group Hospital","French, Arabic, English",Email may be inactive,2025-05-15,active,True
40,1233670016,Larry,Higgins,Dr. Larry Higgins,Obstetrics & Gynecology,001-956-525-8815x3714,larry.higgins@davis.biz,25953 Tyrone Passage Suite 747,North Sierrahaven,NC,60431,IL656760,OH,2027-11-10,False,False,23,Lewis LLC Medical School,2009,"Williams Group Hospital, Khan, Pena and Ruiz Hospital",Arabic,,2024-12-22,active,True
41,5741630982,Amanda,Boone,Dr. Amanda Boone,Radiology,(624)356-5060x98358,amanda.boone@gordon-duran.com,16558 Fischer Flat,Porterton,MI,05601,NC140758,CA,2027-10-03,False,False,16,Reeves Group Medical School,1993,"Bryant, Obrien and Robertson Hospital",Spanish,,2025-07-14,active,True
42,5366051998,Mark,Austin,Dr. Mark Austin,Anesthesiology,(969)649-5888,mark.austin@cabrera-richardson.com,409 Baker Shoal Apt. 097,New Cristina,MI,81731,PA470807,CA,2027-08-17,False,False,39,Hernandez-Becker Medical School,1985,"Armstrong Ltd Hospital, Lee Group Hospital","English, Chinese, Spanish",,2024-04-13,active,True
43,2164324905,Lee,Hernandez,Dr. Lee Hernandez,Neurology,001-936-889-7028x385,lee.hernandez@frye-stevens.net,549 Lee Gateway Suite 843,Kellieborough,IL,90972,OH242999,CA,2026-04-25,False,False,10,"Burns, Castillo and Castro Medical School",2020,"Hill, Martinez and Rhodes Hospital, Huang-Foster Hospital, Blevins-Ballard Hospital","French, Arabic, Hindi",Specialty verification needed,2024-03-11,active,False
44,9290588085,Kelly,Roberts,Dr. Kelly Roberts,Pathology,001-415-374-7338x484,kelly.roberts@yang.net,301 Rivera Mountains,Lake Kellitown,NC,72636,MI271120,NY,2027-01-16,False,True,35,Russell Group Medical School,2007,"Santos-Avila Hospital, Morris-Brewer Hospital, Pearson and Sons Hospital",Spanish,,2024-07-13,active,True
45,4440434109,Amanda,Sharp,Dr. Amanda Sharp,Oncology,2262206724,amanda.sharp@bradley-rodriguez.com,8872 Nelson Valleys Apt. 527,Jennifertown,FL,97050,OH609947,TX,2027-01-22,True,True,39,Gibbs-Bradley Medical School,2014,Thompson Ltd Hospital,English,Specialty verification needed,2024-07-22,active,True
46,4854659992,Penny,Wilcox,Dr. Penny Wilcox,Emergency Medicine,951.661.2275x30463,penny.wilcox@turner-sharp.com,530 Steven Estate Suite 841,Michaelbury,OH,29222,IL624633,FL,2027-04-04,True,False,34,Mendoza Group Medical School,2007,"Zhang, Brooks and Miles Hospital, Todd-Pham Hospital","Chinese, Hindi",,2025-06-24,active,True
47,8651723237,Margaret,Gill,Dr. Margaret Gill,Pulmonology,+1-491-487-8519x10883,margaret.gill@bond-ramos.com,87072 Bryant Centers Suite 406,Lisaborough,TX,76301,CA200600,IL,2027-07-04,True,False,29,Williams LLC Medical School,2019,"Brown, Mcknight and Michael Hospital",English,Provider may have relocated,2024-05-10,active,True
48,5879429755,Cesar,Peck,Dr. Cesar Peck,Radiology,8468226567,cesar.peck@vega.net,512 Rice Stream,Port Adam,PA,03480,CA508434,IL,2026-03-02,False,False,28,Ford-Ball Medical School,2005,Patel-Morrow Hospital,"Arabic, Chinese",,2025-09-21,active,False
49,1421519293,John,Reed,Dr. John Reed,Rheumatology,231-906-9033x119,old_heather62@example.com,3830 William Highway Apt. 959,Joelberg,FL,87036,MI605728,PA,2026-12-03,True,False,17,"Walker, Turner and Brown Medical School",2018,"Hobbs, Buck and Garrett Hospital, Peters-Williams Hospital, David-Powers Hospital","Hindi, Arabic, French",Email may be inactive,2025-06-21,active,False
50,1726214575,Nicholas,Webster,Dr. Nicholas Webster,Oncology,833.542.7086x6882,nicholas.webster@harris-lucas.info,83046 Morgan Field Apt. 735,Susantown,IL,28263,MI486030,CA,2027-06-18,True,True,27,Hayden Inc Medical School,2010,"Key, Mendoza and Sanchez Hospital, Padilla, Sanders and Allen Hospital","English, Chinese",,2025-09-26,active,True
51,7282882102,Marc,Campbell,Dr. Marc Campbell,Neurology,585.744.5877x175,old_gary87@example.org,48996 Hernandez Isle,South Ashley,FL,32709,FL262865,GA,2028-05-13,True,False,34,Pierce-Harding Medical School,1984,"Scott-Underwood Hospital, May, Henry and Jackson Hospital","Arabic, English",Email may be inactive,2025-05-11,active,False
52,1229449070,Sabrina,Weaver,Dr. Sabrina Weaver,Ophthalmology,+1-508-901-0062x3120,sabrina.weaver@brown-little.org,700 Smith Pines Suite 840,Drakeburgh,CA,14527,TX551631,IL,2027-09-14,False,True,27,Warren and Sons Medical School,1980,Harvey LLC Hospital,"Chinese, Hindi, English",,2024-07-02,active,True
53,3999419173,Lisa,Adams,Dr. Lisa Adams,Family Medicine,(815)867-9334x1016,old_ashleyatkinson@example.net,5918 Jerry Ways Suite 401,Rachelshire,TX,86760,OH706139,NY,2027-04-23,True,False,29,White LLC Medical School,2019,"Ali PLC Hospital, Goodwin Ltd Hospital, Hickman-Evans Hospital","Arabic, Hindi",Email may be inactive,2025-02-10,active,True
54,2764143088,Peggy,Rivera,Dr. Peggy Rivera,Anesthesiology,001-821-785-0163x15999,peggy.rivera@walters.info,8662 Miller River,Laurenland,PA,11253,NC126407,GA,2027-03-03,False,True,39,Moore-Dawson Medical School,2005,"Moore, Price and Ward Hospital, Smith LLC Hospital","Hindi, Arabic",,2024-08-28,active,True
55,9503619518,Sean,Juarez,Dr. Sean Juarez,Gastroenterology,821-326-7888,sean.juarez@davis.com,0466 Jenny Points Apt. 982,Jacksonview,GA,39970,CA482735,MI,2028-08-29,True,False,14,Snyder-Brown Medical School,1981,Hill-Evans Hospital,"Chinese, Spanish",Specialty verification needed,2025-02-19,active,False
56,5994145884,Kirsten,Ward,Dr. Kirsten Ward,Internal Medicine,279.893.7124,kirsten.ward@skinner-james.com,6924 Morrison Square Apt. 752,Novakport,MI,96822,FL566292,FL,2027-05-02,False,False,35,"Chen, Faulkner and Casey Medical School",1992,"Bennett-Velasquez Hospital, Diaz-Frederick Hospital",English,,2025-03-07,active,False
57,3660472666,James,Osborn,Dr. James Osborn,Obstetrics & Gynecology,(980)473-7416,james.osborn@turner.biz,79796 Stephens Turnpike Suite 891,Port Johnstad,OH,22303,FL731371,PA,2026-04-30,False,True,30,"Salazar, Hart and Newman Medical School",1997,"Ross, Goodwin and Sheppard Hospital","Chinese, French",,2024-11-29,active,True
58,2880704388,Russell,Smith,Dr. Russell Smith,Ophthalmology,438-788-9937x567,russell.smith@webb.biz,25457 Adriana Keys,Davismouth,PA,42301,OH832157,GA,2026-06-21,True,False,8,Evans Ltd Medical School,1993,"Johnson LLC Hospital, Rodriguez, Marsh and Spears Hospital, Sanchez, Thompson and Moore Hospital","Spanish, English, Hindi",,2023-11-28,active,True
59,4849116376,Anita,Mullen,Dr. Anita Mullen,Orthopedic Surgery,962.826.6093,anita.mullen@smith-lewis.com,182 Nguyen Mount,West Emilyfort,FL,69669,NY584906,NY,2028-08-18,True,False,14,"Edwards, Price and Long Medical School",2006,"Bailey Group Hospital, Thompson, Nunez and Mcbride Hospital","Hindi, Chinese, French",,2024-09-23,active,False
60,1289948836,Samantha,Lawrence,Dr. Samantha Lawrence,Oncology,+1-425-813-4125x28669,samantha.lawrence@lopez-reid.com,4225 Harvey Way,Stephaniefort,MI,18396,TX914309,TX,2028-05-04,True,True,38,Ochoa PLC Medical School,1998,"Delgado, Ortiz and Vasquez Hospital, Larsen, Burns and Miller Hospital",Spanish,Provider may have relocated,2025-01-19,active,False
61,6794268516,Anthony,Juarez,Dr. Anthony Juarez,Ophthalmology,304-638-4279x7881,anthony.juarez@morrow.com,361 Kenneth Bypass Suite 451,Grimesville,OH,31557,MI190462,CA,2028-03-02,True,False,17,Cochran PLC Medical School,2004,"Bell, Page and Chen Hospital, Jensen and Sons Hospital","Hindi, English, French",Provider may have relocated,2024-10-31,active,True
62,6837928355,Lisa,Trujillo,Dr. Lisa Trujillo,Ophthalmology,001-658-649-8254,lisa.trujillo@duke.biz,2232 Poole Trace,Burnsshire,NC,83391,NY921465,CA,2026-10-24,False,True,25,Burton-Brooks Medical School,2007,Schultz Inc Hospital,"Arabic, French",,2024-10-23,active,False
63,2603662468,Richard,Brady,Dr. Richard Brady,Dermatology,001-857-575-9017x518,richard.brady@summers-simpson.com,541 Beck Run,North Randy,OH,58341,PA494002,FL,2026-01-24,False,False,32,Smith-Rubio Medical School,1987,"Forbes and Sons Hospital, Turner, Baxter and Mcdowell Hospital","English, Spanish, Hindi",Address verification needed,2025-06-26,active,False
64,8751708281,Kevin,Lyons,Dr. Kevin Lyons,Emergency Medicine,561.910.3712,kevin.lyons@smith.com,271 Patrick Street Apt. 155,Derrickberg,TX,84593,NC494164,TX,2028-01-29,True,False,5,"Thomas, Moreno and Smith Medical School",2007,"Martin, Bell and Lewis Hospital",Chinese,,2024-08-07,active,True
65,6274830265,Kaitlin,Gillespie,Dr. Kaitlin Gillespie,Radiology,+1-473-511-2196x565,kaitlin.gillespie@newman-wright.org,043 Julie Hill Apt. 376,East Victorland,NY,69744,MI721629,TX,2028-03-18,True,False,32,Hatfield LLC Medical School,2003,"Hughes PLC Hospital, Diaz-Vega Hospital, Best-Townsend Hospital","Hindi, Chinese, French",,2023-11-07,active,False
66,3207186591,Alvin,Jones,Dr. Alvin Jones,Pathology,430-606-8486x661,alvin.jones@collins.com,569 Kyle Mews,North John,NC,57449,GA187978,MI,2028-04-27,False,False,21,Chavez PLC Medical School,2008,Parker Ltd Hospital,"Spanish, Hindi",,2025-05-06,active,False
67,1300258515,Diane,Thompson,Dr. Diane Thompson,Pulmonology,4207275884,diane.thompson@brady.com,6481 Joseph Ports,South Spencerstad,NY,07767,MI731910,CA,2027-06-16,True,False,17,Villarreal-Jackson Medical School,2000,"Scott Inc Hospital, Craig, Wilson and Yang Hospital",Arabic,,2024-08-04,active,False
68,9068771401,Aaron,Trevino,Dr. Aaron Trevino,Gastroenterology,(797)238-3206x038,aaron.trevino@wright-moon.com,95180 Jeffrey Path Apt. 617,Kiaraport,PA,43400,NC801481,NC,2028-06-09,True,True,24,Tran Inc Medical School,2009,"Gonzalez-Elliott Hospital, Stevenson-Sanchez Hospital","Hindi, Chinese",Phone may be outdated,2024-01-31,active,True
69,1610043787,Stephanie,Smith,Dr. Stephanie Smith,Internal Medicine,+1-564-813-8367x02410,stephanie.smith@huang.org,261 Ryan Curve,West Jose,MI,41789,FL579459,IL,2028-09-27,False,True,15,Haynes-Moss Medical School,2004,"Chavez-Hall Hospital, Taylor PLC Hospital, Moore and Sons Hospital","Spanish, English, Hindi",Specialty verification needed,2024-01-15,active,False
70,8071444041,Shannon,Edwards,Dr. Shannon Edwards,Dermatology,385-437-4741,shannon.edwards@torres.com,13568 Erica Green Apt. 067,North Steven,PA,18823,TX197784,CA,2025-12-22,True,False,35,Smith and Sons Medical School,1986,"Gonzalez Group Hospital, Parks-Pace Hospital","English, Chinese, Arabic",,2025-01-02,active,False
71,4818262039,Christopher,Willis,Dr. Christopher Willis,Cardiology,201-937-2151,christopher.willis@jackson.biz,0662 Lewis Ferry Suite 472,New Christinebury,TX,85341,NY836836,NC,2026-01-04,False,True,25,Porter-Andrade Medical School,1987,"Brown-Ramirez Hospital, Barnes Ltd Hospital","Arabic, Spanish",,2023-12-02,active,True
72,9150493184,Nicole,Fox,Dr. Nicole Fox,Endocrinology,+1-680-465-7875x9856,nicole.fox@flores.com,78593 Craig Shoals Apt. 480,New Meghan,PA,51412,FL650833,TX,2028-09-23,True,True,22,Mcconnell-Frey Medical School,1999,Thompson PLC Hospital,"Chinese, English, French",,2024-07-07,active,True
73,6785727388,Louis,Rojas,Dr. Louis Rojas,Emergency Medicine,(490)959-9293x784,louis.rojas@davis.org,87059 Lindsay Junctions,Port Megan,FL,42914,MI328145,TX,2027-07-09,True,True,9,Johnson PLC Medical School,1982,"Stark, Schroeder and Mathis Hospital, Yu-Brooks Hospital, Foster, Garcia and Turner Hospital","French, English, Chinese",,2025-04-25,active,True
74,3169422983,Derek,Moore,Dr. Derek Moore,Anesthesiology,+1-857-904-3315x4100,derek.moore@fry.org,95939 Sharon Divide,Juliebury,MI,45958,TX342449,PA,2027-05-15,True,True,38,Jackson-Mcclure Medical School,2013,Underwood Ltd Hospital,French,Phone may be outdated,2025-05-22,active,True
75,1384541827,Jessica,Costa,Dr. Jessica Costa,Pediatrics,(676)258-6179x32710,jessica.costa@green-garcia.com,2181 Wheeler Ridges,Bushchester,PA,86174,NY124363,PA,2025-12-18,True,True,32,Lawson Group Medical School,2004,"Brown LLC Hospital, Mccann Group Hospital","English, Chinese, French",,2025-01-15,active,False
76,8863504864,Heidi,Bowen,Dr. Heidi Bowen,Pulmonology,290-821-1586x938,heidi.bowen@patterson.org,10324 Thomas Crescent Suite 677,Christopherside,GA,51294,CA871846,NY,2026-04-13,False,False,26,Watson Group Medical School,1999,"Lopez-Williams Hospital, Marshall-Perez Hospital",Spanish,Phone may be outdated,2025-06-28,active,True
77,7430232866,Loretta,Barnes,Dr. Loretta Barnes,Emergency Medicine,+1-479-337-4160,loretta.barnes@thompson-joyce.com,06163 Mary Green,Reneeland,NY,11907,OH393830,GA,2024-11-22,True,False,2,Hawkins-Arnold Medical School,2001,"Stone-Stark Hospital, Buchanan PLC Hospital","French, Hindi",License may be expired,2024-08-04,active,True
78,7635466653,Briana,Harrington,Dr. Briana Harrington,Anesthesiology,362-629-9911,briana.harrington@beard.info,24629 Williams Isle Apt. 074,Andrewport,NC,41257,OH753839,MI,2026-04-03,True,False,34,Cameron-Garrison Medical School,2013,"Garcia, Melton and Taylor Hospital, Ramos, Petersen and Adams Hospital","Chinese, English, Arabic",,2024-02-01,active,False
